,X,Y,RSSI_AP1,RSSI_AP2,RSSI_AP3
330,-12,-6,-46.937657827905774,-42.968415130872245,-77.35486325106115
331,-13,-6,-50.6936525217336,-44.96841513087225,-76.13514198909137
332,-14,-6,-53.51955132411394,-39.35486325106115,-73.81644866380495
333,-15,-6,-53.08699876519231,-38.96841513087224,-74.33299223588766
334,-16,-6,-50.0,-36.0,-76.71101000645952
335,-17,-6,-53.51955132411394,-33.51955132411394,-79.37508183878603
336,-18,-6,-51.51955132411394,-34.0,-77.0869987651923
337,-19,-6,-48.33299223588766,-36.6936525217336,-80.34896394967114
338,0,-7,-36.6936525217336,-50.958256317158366,-76.6936525217336
339,-1,-7,-38.0,-48.6936525217336,-76.47908685027869
340,-2,-7,-39.196192788389226,-46.0,-75.35486325106115
341,-3,-7,-45.519551324113934,-50.967379694976565,-69.51955132411393
342,-4,-7,-49.519551324113934,-50.78587057203265,-74.33299223588766
343,-5,-7,-47.35486325106115,-47.81644866380495,-71.81644866380495
344,-6,-7,-47.64034143198974,-49.08699876519231,-73.53279080303808
345,-7,-7,-46.0,-45.519551324113934,-70.33299223588766
346,-8,-7,-49.519551324113934,-44.47908685027869,-72.47908685027869
347,-9,-7,-47.81644866380495,-48.217429455918,-73.0869987651923
348,-10,-7,-50.47908685027868,-44.47908685027869,-71.51955132411393
349,-11,-7,-48.852631865640255,-42.93765782790578,-75.51955132411395
350,-12,-7,-48.6936525217336,-45.38194831758497,-73.27382993605391
351,-13,-7,-56.86398418587007,-41.08699876519231,-74.33296227732625
352,-14,-7,-50.33299223588766,-42.0,-73.02724017557728
353,-15,-7,-46.6936525217336,-40.33299223588766,-74.0
354,-16,-7,-49.08699876519231,-37.51955132411394,-75.10600533797233
355,-17,-7,-53.35486325106115,-36.6936525217336,-71.81644866380495
356,-18,-7,-54.6936525217336,-38.33299223588766,-74.95602057068756
357,-19,-7,-53.08699876519231,-37.3894409568273,-74.39052334930021
